area,role,remainingHours,plannedHours,varianceHours,shiftHours,plannedShiftHours,workerDays,shift,date,headCount,projectCode,companyCode
"General Project","Ironworker","","","","10","0","0","Night",2025-03-10 00:00:00.000,3,"1902","HSK"
"General Project","Ironworker","","","","10","0","0","Night",2025-03-11 00:00:00.000,3,"1902","HSK"
"General Project","Ironworker","","","","10","0","0","Night",2025-03-12 00:00:00.000,3,"1902","HSK"
"General Project","Ironworker","","","","10","0","0","Night",2025-03-13 00:00:00.000,3,"1902","HSK"
"General Project","Ironworker","","","","10","0","0","Night",2025-03-14 00:00:00.000,3,"1902","HSK"
"General Project","Ironworker","","","","10","0","0","Night",2025-03-17 00:00:00.000,3,"1902","HSK"
"General Project","Ironworker","","","","10","0","0","Night",2025-03-18 00:00:00.000,3,"1902","HSK"
"General Project","Ironworker","","","","10","0","0","Night",2025-03-19 00:00:00.000,3,"1902","HSK"
"General Project","Ironworker","","","","10","0","0","Night",2025-03-20 00:00:00.000,3,"1902","HSK"
"General Project","Ironworker","","","","10","0","0","Night",2025-03-21 00:00:00.000,3,"1902","HSK"
"General Project","Ironworker","","","","10","0","0","Night",2025-03-24 00:00:00.000,3,"1902","HSK"
"General Project","Ironworker","","","","10","0","0","Night",2025-03-25 00:00:00.000,3,"1902","HSK"
"General Project","Ironworker","","","","10","0","0","Night",2025-03-26 00:00:00.000,3,"1902","HSK"
"General Project","Ironworker","","","","10","0","0","Night",2025-03-27 00:00:00.000,3,"1902","HSK"
"General Project","Ironworker","","","","10","0","0","Night",2025-03-28 00:00:00.000,3,"1902","HSK"
"General Project","Ironworker","","","","10","0","0","Night",2025-03-31 00:00:00.000,3,"1902","HSK"
"General Project","Ironworker","","","","10","0","0","Night",2025-04-01 00:00:00.000,3,"1902","HSK"
"General Project","Ironworker","","","","10","0","0","Night",2025-04-02 00:00:00.000,3,"1902","HSK"
"General Project","Ironworker","","","","10","0","0","Night",2025-04-03 00:00:00.000,3,"1902","HSK"
"General Project","Ironworker","","","","10","0","0","Night",2025-04-04 00:00:00.000,3,"1902","HSK"
"General Project","Ironworker","","","","10","0","0","Night",2025-04-05 00:00:00.000,3,"1902","HSK"
"General Project","Ironworker","","","","10","0","0","Night",2025-04-07 00:00:00.000,3,"1902","HSK"
"General Project","Ironworker","","","","10","0","0","Night",2025-04-08 00:00:00.000,3,"1902","HSK"
"General Project","Ironworker","","","","10","0","0","Night",2025-04-09 00:00:00.000,3,"1902","HSK"
"General Project","Ironworker","","","","10","0","0","Night",2025-04-10 00:00:00.000,3,"1902","HSK"
"General Project","Ironworker","","","","10","0","0","Night",2025-04-11 00:00:00.000,3,"1902","HSK"
"General Project","Ironworker","","","","10","0","0","Night",2025-04-12 00:00:00.000,3,"1902","HSK"
"General Project","Ironworker","","","","10","0","0","Night",2025-04-14 00:00:00.000,3,"1902","HSK"
"General Project","Ironworker","","","","10","0","0","Night",2025-04-15 00:00:00.000,3,"1902","HSK"
"General Project","Ironworker","","","","10","0","0","Night",2025-04-16 00:00:00.000,3,"1902","HSK"
"General Project","Ironworker","","","","10","0","0","Night",2025-04-17 00:00:00.000,3,"1902","HSK"
"General Project","Ironworker","","","","10","0","0","Night",2025-04-18 00:00:00.000,3,"1902","HSK"
"General Project","Ironworker","","","","10","0","0","Night",2025-04-21 00:00:00.000,3,"1902","HSK"
"General Project","Ironworker","","","","10","0","0","Night",2025-04-22 00:00:00.000,3,"1902","HSK"
"General Project","Ironworker","","","","10","0","0","Night",2025-04-23 00:00:00.000,3,"1902","HSK"
"General Project","Ironworker","","","","10","0","0","Night",2025-04-24 00:00:00.000,3,"1902","HSK"
"General Project","Ironworker","","","","10","0","0","Night",2025-04-25 00:00:00.000,3,"1902","HSK"
"General Project","Ironworker","","","","10","0","0","Night",2025-04-28 00:00:00.000,3,"1902","HSK"
"General Project","Ironworker","","","","10","0","0","Night",2025-04-29 00:00:00.000,3,"1902","HSK"
"General Project","Ironworker","","","","10","0","0","Night",2025-04-30 00:00:00.000,3,"1902","HSK"
"General Project","Ironworker","","","","10","0","0","Night",2025-05-01 00:00:00.000,3,"1902","HSK"
"General Project","Ironworker","","","","10","0","0","Night",2025-05-02 00:00:00.000,3,"1902","HSK"
"General Project","Ironworker","","","","10","0","0","Night",2025-05-05 00:00:00.000,3,"1902","HSK"
"General Project","Ironworker","","","","10","0","0","Night",2025-05-06 00:00:00.000,3,"1902","HSK"
"General Project","Ironworker","","","","10","0","0","Night",2025-05-07 00:00:00.000,3,"1902","HSK"
"General Project","Ironworker","","","","10","0","0","Night",2025-05-08 00:00:00.000,3,"1902","HSK"
"General Project","Ironworker","","","","10","0","0","Night",2025-05-09 00:00:00.000,3,"1902","HSK"
"General Project","Ironworker","","","","10","0","0","Night",2025-05-12 00:00:00.000,3,"1902","HSK"
"General Project","Ironworker","","","","10","0","0","Night",2025-05-13 00:00:00.000,3,"1902","HSK"
"General Project","Ironworker","","","","10","0","0","Night",2025-05-14 00:00:00.000,3,"1902","HSK"
"General Project","Ironworker","","","","10","0","0","Night",2025-05-15 00:00:00.000,3,"1902","HSK"
"General Project","Ironworker","","","","10","0","0","Night",2025-05-16 00:00:00.000,3,"1902","HSK"
"General Project","Boilermaker","","","","10","0","0","Night",2025-03-10 00:00:00.000,3,"1902","HSK"
"General Project","Boilermaker","","","","10","0","0","Night",2025-03-11 00:00:00.000,3,"1902","HSK"
"General Project","Boilermaker","","","","10","0","0","Night",2025-03-12 00:00:00.000,3,"1902","HSK"
"General Project","Boilermaker","","","","10","0","0","Night",2025-03-13 00:00:00.000,3,"1902","HSK"
"General Project","Boilermaker","","","","10","0","0","Night",2025-03-14 00:00:00.000,3,"1902","HSK"
"General Project","Boilermaker","","","","10","0","0","Night",2025-03-17 00:00:00.000,3,"1902","HSK"
"General Project","Boilermaker","","","","10","0","0","Night",2025-03-18 00:00:00.000,3,"1902","HSK"
"General Project","Boilermaker","","","","10","0","0","Night",2025-03-19 00:00:00.000,3,"1902","HSK"
"General Project","Boilermaker","","","","10","0","0","Night",2025-03-20 00:00:00.000,3,"1902","HSK"
"General Project","Boilermaker","","","","10","0","0","Night",2025-03-21 00:00:00.000,3,"1902","HSK"
"General Project","Boilermaker","","","","10","0","0","Night",2025-03-24 00:00:00.000,3,"1902","HSK"
"General Project","Boilermaker","","","","10","0","0","Night",2025-03-25 00:00:00.000,3,"1902","HSK"
"General Project","Boilermaker","","","","10","0","0","Night",2025-03-26 00:00:00.000,3,"1902","HSK"
"General Project","Boilermaker","","","","10","0","0","Night",2025-03-27 00:00:00.000,3,"1902","HSK"
"General Project","Boilermaker","","","","10","0","0","Night",2025-03-28 00:00:00.000,3,"1902","HSK"
"General Project","Boilermaker","","","","10","0","0","Night",2025-03-31 00:00:00.000,3,"1902","HSK"
"General Project","Boilermaker","","","","10","0","0","Night",2025-04-01 00:00:00.000,3,"1902","HSK"
"General Project","Boilermaker","","","","10","0","0","Night",2025-04-02 00:00:00.000,3,"1902","HSK"
"General Project","Boilermaker","","","","10","0","0","Night",2025-04-03 00:00:00.000,3,"1902","HSK"
"General Project","Boilermaker","","","","10","0","0","Night",2025-04-04 00:00:00.000,3,"1902","HSK"
"General Project","Boilermaker","","","","10","0","0","Night",2025-04-05 00:00:00.000,3,"1902","HSK"
"General Project","Boilermaker","","","","10","0","0","Night",2025-04-07 00:00:00.000,3,"1902","HSK"
"General Project","Boilermaker","","","","10","0","0","Night",2025-04-08 00:00:00.000,3,"1902","HSK"
"General Project","Boilermaker","","","","10","0","0","Night",2025-04-09 00:00:00.000,3,"1902","HSK"
"General Project","Boilermaker","","","","10","0","0","Night",2025-04-10 00:00:00.000,3,"1902","HSK"
"General Project","Boilermaker","","","","10","0","0","Night",2025-04-11 00:00:00.000,3,"1902","HSK"
"General Project","Boilermaker","","","","10","0","0","Night",2025-04-12 00:00:00.000,3,"1902","HSK"
"General Project","Boilermaker","","","","10","0","0","Night",2025-04-14 00:00:00.000,3,"1902","HSK"
"General Project","Boilermaker","","","","10","0","0","Night",2025-04-15 00:00:00.000,3,"1902","HSK"
"General Project","Boilermaker","","","","10","0","0","Night",2025-04-16 00:00:00.000,3,"1902","HSK"
"General Project","Boilermaker","","","","10","0","0","Night",2025-04-17 00:00:00.000,3,"1902","HSK"
"General Project","Boilermaker","","","","10","0","0","Night",2025-04-18 00:00:00.000,3,"1902","HSK"
"General Project","Boilermaker","","","","10","0","0","Night",2025-04-21 00:00:00.000,3,"1902","HSK"
"General Project","Boilermaker","","","","10","0","0","Night",2025-04-22 00:00:00.000,3,"1902","HSK"
"General Project","Boilermaker","","","","10","0","0","Night",2025-04-23 00:00:00.000,3,"1902","HSK"
"General Project","Boilermaker","","","","10","0","0","Night",2025-04-24 00:00:00.000,3,"1902","HSK"
"General Project","Boilermaker","","","","10","0","0","Night",2025-04-25 00:00:00.000,3,"1902","HSK"
"General Project","Pipefitter","","","","10","2210","221","Night",2025-06-02 00:00:00.000,3,"1902","HSK"
"General Project","Pipefitter","","","","10","2210","221","Night",2025-06-03 00:00:00.000,3,"1902","HSK"
"General Project","Pipefitter","","","","10","2210","221","Night",2025-06-04 00:00:00.000,3,"1902","HSK"
"General Project","Pipefitter","","","","10","2210","221","Night",2025-06-05 00:00:00.000,3,"1902","HSK"
"General Project","Pipefitter","","","","10","2210","221","Night",2025-06-06 00:00:00.000,3,"1902","HSK"
"General Project","Pipefitter","","","","10","2210","221","Night",2025-06-07 00:00:00.000,3,"1902","HSK"
"General Project","Pipefitter","","","","10","2210","221","Night",2025-06-09 00:00:00.000,3,"1902","HSK"
"General Project","Pipefitter","","","","10","2210","221","Night",2025-06-10 00:00:00.000,3,"1902","HSK"
"General Project","Pipefitter","","","","10","2210","221","Night",2025-06-11 00:00:00.000,3,"1902","HSK"
"General Project","Pipefitter","","","","10","2210","221","Night",2025-06-12 00:00:00.000,3,"1902","HSK"
"General Project","Pipefitter","","","","10","2210","221","Night",2025-06-13 00:00:00.000,3,"1902","HSK"
"General Project","Pipefitter","","","","10","2210","221","Night",2025-06-14 00:00:00.000,3,"1902","HSK"
"General Project","Pipefitter","","","","10","2210","221","Night",2025-06-16 00:00:00.000,3,"1902","HSK"
"General Project","Pipefitter","","","","10","2210","221","Night",2025-06-17 00:00:00.000,3,"1902","HSK"
"General Project","Pipefitter","","","","10","2210","221","Night",2025-06-18 00:00:00.000,3,"1902","HSK"
"General Project","Pipefitter","","","","10","2210","221","Night",2025-06-19 00:00:00.000,3,"1902","HSK"
"General Project","Pipefitter","","","","10","2210","221","Night",2025-06-20 00:00:00.000,3,"1902","HSK"
"General Project","Pipefitter","","","","10","2210","221","Night",2025-06-21 00:00:00.000,3,"1902","HSK"
"General Project","Pipefitter","","","","10","2210","221","Night",2025-06-23 00:00:00.000,3,"1902","HSK"
"General Project","Pipefitter","","","","10","2210","221","Night",2025-06-24 00:00:00.000,3,"1902","HSK"
"General Project","Pipefitter","","","","10","2210","221","Night",2025-06-25 00:00:00.000,3,"1902","HSK"
"General Project","Pipefitter","","","","10","2210","221","Night",2025-06-26 00:00:00.000,3,"1902","HSK"
"General Project","Pipefitter","","","","10","2210","221","Night",2025-06-27 00:00:00.000,3,"1902","HSK"
"General Project","Pipefitter","","","","10","2210","221","Night",2025-06-28 00:00:00.000,3,"1902","HSK"
"General Project","Laborer","","","","10","0","0","Night",2025-03-10 00:00:00.000,1,"1902","HSK"
"General Project","Laborer","","","","10","0","0","Night",2025-03-11 00:00:00.000,1,"1902","HSK"
"General Project","Laborer","","","","10","0","0","Night",2025-03-12 00:00:00.000,1,"1902","HSK"
"General Project","Laborer","","","","10","0","0","Night",2025-03-13 00:00:00.000,1,"1902","HSK"
"General Project","Laborer","","","","10","0","0","Night",2025-03-14 00:00:00.000,1,"1902","HSK"
"General Project","Laborer","","","","10","0","0","Night",2025-03-17 00:00:00.000,1,"1902","HSK"
"General Project","Laborer","","","","10","0","0","Night",2025-03-18 00:00:00.000,1,"1902","HSK"
"General Project","Laborer","","","","10","0","0","Night",2025-03-19 00:00:00.000,1,"1902","HSK"
"General Project","Laborer","","","","10","0","0","Night",2025-03-20 00:00:00.000,1,"1902","HSK"
"General Project","Laborer","","","","10","0","0","Night",2025-03-21 00:00:00.000,1,"1902","HSK"
"General Project","Laborer","","","","10","0","0","Night",2025-03-24 00:00:00.000,1,"1902","HSK"
"General Project","Laborer","","","","10","0","0","Night",2025-03-25 00:00:00.000,1,"1902","HSK"
"General Project","Laborer","","","","10","0","0","Night",2025-03-26 00:00:00.000,1,"1902","HSK"
"General Project","Laborer","","","","10","0","0","Night",2025-03-27 00:00:00.000,1,"1902","HSK"
